adress,location,size:rooms,fee,features,sale_price,sold_date,value_dev,ppsqm,district
"västgötagränd 1a, 2 tr","södermalm, stockholms kommun",45 m²   2 rum,3 212 kr/mån,hiss,slutpris 4 000 000 kr,såld 21 september 2021,+27 %,88 889 kr/m²,sodermalm
"tantogatan 63, 4 trp","södermalm, stockholms kommun","42,5 m²   2 rum",1 960 kr/mån,hiss,slutpris 3 500 000 kr,såld 21 september 2021,+8 %,82 353 kr/m²,sodermalm
"ringvägen 162, 3tr","södermalm - sofo, stockholms kommun",30 m²   1 rum,1 565 kr/mån,hiss,slutpris 2 900 000 kr,såld 21 september 2021,+8 %,96 667 kr/m²,sodermalm
"ringvägen 106, 3 tr","södermalm katarina, stockholms kommun",95 m²   3 rum,2 866 kr/mån,balkong&hiss,slutpris 10 000 000 kr,såld 21 september 2021,+16 %,105 263 kr/m²,sodermalm
katarina västra kyrkogata 10,"södermalm katarina, stockholms kommun",84 m²   3 rum,4 070 kr/mån,hiss,slutpris 11 200 000 kr,såld 21 september 2021,+21 %,133 333 kr/m²,sodermalm
vickergatan 11 - accepterat pris,"södermalm - skanstull, stockholms kommun",41 m²   2 rum,2 296 kr/mån,null,slutpris 3 495 000 kr,såld 21 september 2021,±0 %,85 244 kr/m²,sodermalm
bondegatan 25a,"södermalm/katarina, stockholms kommun",85 m²   3 rum,4 820 kr/mån,balkong&hiss,slutpris 7 600 000 kr,såld 21 september 2021,+19 %,89 412 kr/m²,sodermalm
"götgatan 120, 4 tr (ingång via ringv 111)","södermalm, stockholms kommun",70 m²   3 rum,2 986 kr/mån,balkong&hiss,slutpris 6 270 000 kr,såld 21 september 2021,+14 %,89 571 kr/m²,sodermalm
åsögatan 130,"södermalm, stockholms kommun",61 m²   2 rum,2 618 kr/mån,balkong&hiss,slutpris 6 750 000 kr,såld 21 september 2021,+16 %,110 656 kr/m²,sodermalm
metargatan 7,"södermalm, stockholms kommun",43 m²   2 rum,2 571 kr/mån,balkong&hiss,slutpris 5 375 000 kr,såld 20 september 2021,+31 %,125 000 kr/m²,sodermalm
"heleneborgsgatan 8a, 4 tr","högalid, stockholms kommun",60 m²   2 rum,3 241 kr/mån,hiss,slutpris 6 725 000 kr,såld 20 september 2021,+25 %,112 083 kr/m²,sodermalm
"verkstadsgatan 10, 3tr","högalid, stockholms kommun",30 m²   1 rum,1 158 kr/mån,hiss,slutpris 3 450 000 kr,såld 20 september 2021,+28 %,115 000 kr/m²,sodermalm
"erstagatan 22, 2 tr","sofia, stockholms kommun","39,4 m²   2 rum",2 525 kr/mån,balkong&hiss,slutpris 4 250 000 kr,såld 20 september 2021,107 868 kr/m²,,sodermalm
folkungagatan 118 (gårdsläge!),"södermalm, stockholms kommun","32 m²   1,5 rum",1 256 kr/mån,balkong&hiss,slutpris 3 500 000 kr,såld 20 september 2021,+25 %,109 375 kr/m²,sodermalm
"gotlandsgatan 64, 1,5 tr","katarina/sofia, stockholms kommun",41 m²   2 rum,2 204 kr/mån,hiss,slutpris 4 300 000 kr,såld 20 september 2021,+21 %,104 878 kr/m²,sodermalm
"ölandsgatan 44, 5tr","södermalm - skanstull, stockholms kommun",32 m²   2 rum,1 808 kr/mån,balkong&hiss,slutpris 4 000 000 kr,såld 20 september 2021,+21 %,125 000 kr/m²,sodermalm
"tjärhovsgatan 22, 3tr","södermalm, stockholms kommun",19 m²   1 rum,2 011 kr/mån,hiss,slutpris 2 175 000 kr,såld 20 september 2021,+1 %,114 474 kr/m²,sodermalm
"ringvägen 108, 2 tr","södermalm, stockholms kommun",93 m²   3 rum,2 836 kr/mån,balkong&hiss,slutpris 10 600 000 kr,såld 19 september 2021,+25 %,113 978 kr/m²,sodermalm
"götgatan 114, 5tr (ingång från dalslandsgatan 2)","skanstull, stockholms kommun","65 m²   2,5 rum",2 795 kr/mån,balkong&hiss,slutpris 6 000 000 kr,såld 18 september 2021,+24 %,92 308 kr/m²,sodermalm
"folkskolegatan 4, 4 tr","högalid, stockholms kommun",40 m²   2 rum,2 156 kr/mån,hiss,slutpris 3 950 000 kr,såld 17 september 2021,+14 %,98 750 kr/m²,sodermalm
"gotlandsgatan 64, 6tr","katarina, stockholms kommun",55 + 13 m²   2 rum,2 956 kr/mån,balkong&hiss,slutpris 7 500 000 kr,såld 17 september 2021,+26 %,136 364 kr/m²,sodermalm
skånegatan 72,"södermalm, stockholms kommun","40 m²   1,5 rum",3 405 kr/mån,balkong&hiss,slutpris 4 250 000 kr,såld 17 september 2021,+15 %,106 250 kr/m²,sodermalm
heleneborgsgatan 48,"hornstull - högalid, stockholms kommun",66 + 3 m²   3 rum,2 888 kr/mån,hiss,slutpris 7 500 000 kr,såld 17 september 2021,+4 %,113 636 kr/m²,sodermalm
tavastgatan 22,"södermalm - mariaberget, stockholms kommun","49,9 m²   2 rum",2 232 kr/mån,hiss,slutpris 4 450 000 kr,såld 17 september 2021,-1 %,89 178 kr/m²,sodermalm
hallandsgatan 30,"södermalm, stockholms kommun",37 + 5 m²   1 rum,2 399 kr/mån,hiss,slutpris 3 520 000 kr,såld 17 september 2021,+4 %,95 135 kr/m²,sodermalm
"bondegatan 13, 4 tr","södermalm - nytorget, stockholms kommun",56 m²   2 rum,3 122 kr/mån,hiss,slutpris 4 650 000 kr,såld 17 september 2021,+2 %,83 036 kr/m²,sodermalm
"erstagatan 23, 1,5 tr","södermalm, stockholms kommun","27,2 m²   1 rum",1 519 kr/mån,hiss,slutpris 2 825 000 kr,såld 17 september 2021,+23 %,103 860 kr/m²,sodermalm
"bergsunds strand 15, vån 2","södermalm hornstull, stockholms kommun","35 m²   1,5 rum",1 610 kr/mån,balkong&hiss,slutpris 3 700 000 kr,såld 17 september 2021,+25 %,105 714 kr/m²,sodermalm
"assessorsgatan 18d, 5tr","katarina/sofia, stockholms kommun","70 m²   2,5 rum",2 536 kr/mån,hiss,slutpris 6 750 000 kr,såld 17 september 2021,+17 %,96 429 kr/m²,sodermalm
tideliusgränd 9,"södermalm, stockholms kommun",77 m²   3 rum,4 088 kr/mån,balkong&hiss,slutpris 8 650 000 kr,såld 17 september 2021,+13 %,112 338 kr/m²,sodermalm
"marmorgatan 4, vån 3","södermalm/högalid, stockholms kommun","68,5 m²   2 rum",3 209 kr/mån,balkong&hiss,slutpris 4 750 000 kr,såld 17 september 2021,+7 %,69 343 kr/m²,sodermalm
"slipgatan 12, 3 tr","södermalm - hornstull, stockholms kommun",35 m²   2 rum,2 178 kr/mån,balkong&hiss,slutpris 3 700 000 kr,såld 17 september 2021,+20 %,105 714 kr/m²,sodermalm
"kocksgatan 29, 4 tr","katarina, stockholms kommun",72 m²   3 rum,3 811 kr/mån,balkong&hiss,slutpris 8 100 000 kr,såld 16 september 2021,+16 %,112 500 kr/m²,sodermalm
"bondegatan 50, 4 tr","katarina, stockholms kommun",43 m²   2 rum,1 777 kr/mån,hiss,slutpris 4 550 000 kr,såld 16 september 2021,null,105 814 kr/m²,sodermalm
"heleneborgsgatan 9 c, vån 4","högalid, stockholms kommun",25 m²   1 rum,1 475 kr/mån,balkong,slutpris 3 100 000 kr,såld 16 september 2021,+25 %,124 000 kr/m²,sodermalm
heleneborgsgatan 46,"hornstull, stockholms kommun",53 m²   2 rum,1 545 kr/mån,hiss,slutpris 5 100 000 kr,såld 16 september 2021,+6 %,96 226 kr/m²,sodermalm
hornsgatan 123,"södermalm/hornstull, stockholms kommun",63 m²   2 rum,2 812 kr/mån,balkong&hiss,slutpris 5 000 000 kr,såld 16 september 2021,+6 %,79 365 kr/m²,sodermalm
metargatan 13,"södermalm/blecktornsparken, stockholms kommun",32 m²   1 rum,1 746 kr/mån,null,slutpris 3 525 000 kr,såld 16 september 2021,+24 %,110 156 kr/m²,sodermalm
götgatan 92a,"södermalm, stockholms kommun",39 m²   1 rum,1 429 kr/mån,balkong&hiss,slutpris 3 720 000 kr,såld 16 september 2021,+10 %,95 385 kr/m²,sodermalm
bergsundsgatan 14,"södermalm / hornstull, stockholms kommun",26 m²   1 rum,2 187 kr/mån,balkong&hiss,slutpris 2 870 000 kr,såld 16 september 2021,+15 %,110 385 kr/m²,sodermalm
"högalidsgatan 38c, 1 tr upp","södermalm högalid, stockholms kommun",20 m²   1 rum,924 kr/mån,balkong,slutpris 2 800 000 kr,såld 16 september 2021,+22 %,140 000 kr/m²,sodermalm
"folkskolegatan 3, 2 tr","södermalm, stockholms kommun",24 m²   1 rum,1 325 kr/mån,hiss,slutpris 2 700 000 kr,såld 16 september 2021,null,112 500 kr/m²,sodermalm
"möregatan 7, 2 tr","södermalm, stockholms kommun",37 m²   2 rum,2 720 kr/mån,hiss,slutpris 3 250 000 kr,såld 16 september 2021,+9 %,87 838 kr/m²,sodermalm
"ringvägen 138, 3 tr","södermalm katarina, stockholms kommun",43 m²   2 rum,2 528 kr/mån,balkong&hiss,slutpris 4 000 000 kr,såld 16 september 2021,+14 %,93 023 kr/m²,sodermalm
"alsnögatan 26, 5 tr","sofia, stockholms kommun","34,5 m²   1,5 rum",2 932 kr/mån,balkong&hiss,slutpris 3 150 000 kr,såld 16 september 2021,+9 %,91 304 kr/m²,sodermalm
katarina bangata 59a,"södermalm - sofia, stockholms kommun",40 m²   2 rum,2 068 kr/mån,balkong&hiss,slutpris 3 850 000 kr,såld 16 september 2021,+3 %,96 250 kr/m²,sodermalm
"brännerigatan 5, 2tr","södermalm - katarina, stockholms kommun",51 m²   2 rum,2 868 kr/mån,hiss,slutpris 4 950 000 kr,såld 16 september 2021,+13 %,97 059 kr/m²,sodermalm
"renstiernas gata 30, 4 tr","södermalm- sofia, stockholms kommun",42 m²   1 rum,2 087 kr/mån,hiss,slutpris 3 600 000 kr,såld 16 september 2021,±0 %,85 714 kr/m²,sodermalm
sankt paulsgatan 28b,"mariatorget, stockholms kommun",57 m²   2 rum,3 272 kr/mån,null,slutpris 5 880 000 kr,såld 15 september 2021,+9 %,103 158 kr/m²,sodermalm
"erstagatan 16, 5 tr","sofia, stockholms kommun","43 m²   1,5 rum",2 697 kr/mån,balkong&hiss,slutpris 4 175 000 kr,såld 15 september 2021,+10 %,97 093 kr/m²,sodermalm
maria skolgata 87,"hornstull, stockholms kommun",23 m²   1 rum,1 664 kr/mån,balkong&hiss,hiss,slutpris 2 900 000 kr,såld 15 september 2021,+12 %,sodermalm
brännkyrkagatan 92,"högalid, stockholms kommun",20 m²   1 rum,1 586 kr/mån,hiss,slutpris 2 500 000 kr,såld 15 september 2021,+14 %,125 000 kr/m²,sodermalm
bondegatan 80,"sofia, stockholms kommun",35 m²   2 rum,2 213 kr/mån,hiss,slutpris 3 525 000 kr,såld 15 september 2021,+19 %,100 714 kr/m²,sodermalm
"bohusgatan 53, 6 / 6 tr","södermalm-sofia, stockholms kommun",99 m²   5 rum,5 326 kr/mån,balkong&hiss,slutpris 10 275 000 kr,såld 15 september 2021,+17 %,103 788 kr/m²,sodermalm
"bondegatan 24, 4 tr","södermalm, stockholms kommun","42 m²   1,5 rum",1 934 kr/mån,hiss,slutpris 4 000 000 kr,såld 15 september 2021,+16 %,95 238 kr/m²,sodermalm
"katarina bangata 59c, 3 tr","södermalm, stockholms kommun",45 m²   2 rum,2 823 kr/mån,balkong&hiss,slutpris 4 740 000 kr,såld 15 september 2021,+22 %,105 333 kr/m²,sodermalm
"rosenlundsgatan 24, 2 tr","södermalm, stockholms kommun",20 m²   1 rum,1 096 kr/mån,hiss,slutpris 2 555 000 kr,såld 15 september 2021,+16 %,127 750 kr/m²,sodermalm
metargatan 3,"södermalm, stockholms kommun","39 m²   1,5 rum",784 kr/mån,null,slutpris 3 730 000 kr,såld 15 september 2021,+8 %,95 641 kr/m²,sodermalm
"malmgårdsvägen 30k, 5 tr","södermalm \ sofia, stockholms kommun","37 m²   1,5 rum",2 451 kr/mån,hiss,slutpris 3 375 000 kr,såld 15 september 2021,+4 %,91 216 kr/m²,sodermalm
marmorgatan 7,"södermalm högalid, stockholms kommun",53 m²   2 rum,4 188 kr/mån,balkong,slutpris 3 800 000 kr,såld 15 september 2021,+15 %,71 698 kr/m²,sodermalm
verkstadsgatan 10,"södermalm, stockholms kommun",79 m²   3 rum,2 206 kr/mån,balkong&hiss,slutpris 8 050 000 kr,såld 15 september 2021,+15 %,101 899 kr/m²,sodermalm
"heleneborgsgatan 25b, 2tr","södermalm, stockholms kommun",35 m²   1 rum,2 201 kr/mån,null,slutpris 3 150 000 kr,såld 15 september 2021,+26 %,90 000 kr/m²,sodermalm
bergsundsgatan 13,"södermalm högalid, stockholms kommun",43 m²   2 rum,2 389 kr/mån,balkong&hiss,slutpris 4 350 000 kr,såld 15 september 2021,+13 %,101 163 kr/m²,sodermalm
skånegatan 86,"södermalm - nytorget, stockholms kommun",106 m²   3 rum,5 557 kr/mån,hiss,slutpris 11 900 000 kr,såld 15 september 2021,null,112 264 kr/m²,sodermalm
åsögatan 92,"södermalm, stockholms kommun",33 m²   2 rum,1 897 kr/mån,balkong&hiss,slutpris 3 730 000 kr,såld 15 september 2021,+18 %,113 030 kr/m²,sodermalm
"doktor abelins gata 2, 2tr","högalid, stockholms kommun",47 m²   2 rum,2 656 kr/mån,hiss,slutpris 4 900 000 kr,såld 15 september 2021,+23 %,104 255 kr/m²,sodermalm
"bergsunds strand 3, 4tr","södermalm - hornstull, stockholms kommun",67 m²   2 rum,1 587 kr/mån,balkong&hiss,slutpris 6 600 000 kr,såld 15 september 2021,+2 %,98 507 kr/m²,sodermalm
wollmar yxkullsgatan 48d,"södermalm högalid, stockholms kommun","26,5 m²   1,5 rum",1 721 kr/mån,hiss,slutpris 3 200 000 kr,såld 15 september 2021,+23 %,120 755 kr/m²,sodermalm
repslagargatan 27,"södermalm, stockholms kommun",94 m²   4 rum,3 533 kr/mån,hiss,slutpris 8 100 000 kr,såld 15 september 2021,+20 %,86 170 kr/m²,sodermalm
"bengt ekehjelmsgatan 7, 4tr vind","södermalm - maria, stockholms kommun",63 m²   2 rum,3 717 kr/mån,balkong&hiss,slutpris 7 225 000 kr,såld 15 september 2021,+24 %,114 683 kr/m²,sodermalm
eriksdalsgatan 19,"södermalm, stockholms kommun",55 m²   3 rum,3 085 kr/mån,balkong,slutpris 4 495 000 kr,såld 15 september 2021,±0 %,81 727 kr/m²,sodermalm
götgatan 94,"södermalm, stockholms kommun","69 m²   2,5 rum",2 235 kr/mån,hiss,slutpris 6 725 000 kr,såld 14 september 2021,+26 %,97 464 kr/m²,sodermalm
"katarina västra kyrkogata 4c, 4tr","södermalm - mosebacke, stockholms kommun",48 m²   2 rum,2 931 kr/mån,balkong,slutpris 6 700 000 kr,såld 14 september 2021,+28 %,139 583 kr/m²,sodermalm
"verkstadsgatan 5, 5tr","södermalm högalid, stockholms kommun",38 m²   2 rum,2 076 kr/mån,balkong&hiss,slutpris 4 800 000 kr,såld 14 september 2021,+30 %,126 316 kr/m²,sodermalm
"ringvägen 86, 3 tr.","södermalm katarina, stockholms kommun",45 m²   2 rum,2 010 kr/mån,hiss,slutpris 4 050 000 kr,såld 14 september 2021,+4 %,90 000 kr/m²,sodermalm
"ringvägen 87a, vån 2","maria, stockholms kommun",40 m²   2 rum,1 941 kr/mån,hiss,slutpris 3 825 000 kr,såld 14 september 2021,+16 %,95 625 kr/m²,sodermalm
"brännkyrkagatan 46, 3 tr","södermalm, stockholms kommun",30 m²   1 rum,1 846 kr/mån,hiss,slutpris 3 100 000 kr,såld 14 september 2021,+13 %,103 333 kr/m²,sodermalm
"heleneborgsgatan 20, 1 tr upp","södermalm högalid, stockholms kommun",24 m²   1 rum,1 113 kr/mån,hiss,slutpris 2 710 000 kr,såld 14 september 2021,+23 %,112 917 kr/m²,sodermalm
lundagatan 41,"södermalm högalid, stockholms kommun",65 m²   2 rum,3 947 kr/mån,balkong&hiss,slutpris 6 900 000 kr,såld 14 september 2021,+15 %,106 154 kr/m²,sodermalm
tavastgatan 25,"södermalm maria, stockholms kommun",40 m²   2 rum,2 826 kr/mån,balkong&hiss,slutpris 5 400 000 kr,såld 14 september 2021,+42 %,135 000 kr/m²,sodermalm
"bondegatan 79, 3 tr","södermalm, stockholms kommun",42 m²   2 rum,2 272 kr/mån,hiss,slutpris 4 200 000 kr,såld 14 september 2021,+12 %,100 000 kr/m²,sodermalm
"timmermansgatan 38b, 1,5 tr","södermalm - mariatorget, stockholms kommun",33 m²   1 rum,2 109 kr/mån,balkong&hiss,slutpris 4 300 000 kr,såld 14 september 2021,+35 %,130 303 kr/m²,sodermalm
"högbergsgatan 76b, 5 / 5 tr","södermalm - maria magdalena, stockholms kommun",82 + 2 m²   3 rum,3 170 kr/mån,balkong&hiss,slutpris 10 400 000 kr,såld 14 september 2021,+39 %,126 829 kr/m²,sodermalm
"lindvallsplan 6, 4tr","södermalm - högalid, stockholms kommun",61 m²   2 rum,3 121 kr/mån,balkong&hiss,slutpris 7 050 000 kr,såld 14 september 2021,+28 %,115 574 kr/m²,sodermalm
"erstagatan 22, 3tr","södermalm, stockholms kommun","39,4 m²   1 rum",2 558 kr/mån,null,slutpris 3 950 000 kr,såld 14 september 2021,+28 %,100 254 kr/m²,sodermalm
pålsundsgatan 1 b,"hornstull - högalid, stockholms kommun",41 m²   2 rum,1 675 kr/mån,hiss,slutpris 3 725 000 kr,såld 14 september 2021,+13 %,90 854 kr/m²,sodermalm
tegelviksgatan 39,"sofia, stockholms kommun","63,8 m²   2 rum",4 386 kr/mån,balkong&hiss,slutpris 6 000 000 kr,såld 13 september 2021,+26 %,94 044 kr/m²,sodermalm
"anders reimers väg 2, högst upp","södermalm - reimersholme, stockholms kommun",53 m²   2 rum,3 262 kr/mån,balkong,slutpris 5 600 000 kr,såld 13 september 2021,+13 %,105 660 kr/m²,sodermalm
"högbergsgatan 18 / roddargatan 8, 2 tr","södermalm - mosebacke, stockholms kommun",41 m²   2 rum,1 684 kr/mån,balkong&hiss,slutpris 4 900 000 kr,såld 13 september 2021,+31 %,119 512 kr/m²,sodermalm
"lundagatan 40b, 3tr","högalid, stockholms kommun","41,5 m²   2 rum",2 104 kr/mån,hiss,slutpris 3 900 000 kr,såld 12 september 2021,+12 %,93 976 kr/m²,sodermalm
wollmar yxkullsgatan 40,"södermalm - mariatorget, stockholms kommun",39 m²   2 rum,1 630 kr/mån,hiss,slutpris 3 850 000 kr,såld 12 september 2021,+11 %,98 718 kr/m²,sodermalm
"ekehjelmstorget 4, 2 tr","södermalm, stockholms kommun",96 m²   5 rum,3 087 kr/mån,balkong&hiss,slutpris 8 900 000 kr,såld 12 september 2021,+13 %,92 708 kr/m²,sodermalm
möregatan 8,"södermalm, stockholms kommun","63,5 m²   2,5 rum",3 564 kr/mån,balkong&hiss,slutpris 6 120 000 kr,såld 11 september 2021,+11 %,96 378 kr/m²,sodermalm
tjärhovsgatan 22,"södermalm - katarina, stockholms kommun",19 m²   1 rum,2 011 kr/mån,hiss,slutpris 2 100 000 kr,såld 11 september 2021,±0 %,110 526 kr/m²,sodermalm
skånegatan 81,"nytorget / sofo, stockholms kommun",44 m²   2 rum,1 709 kr/mån,balkong&hiss,slutpris 5 500 000 kr,såld 11 september 2021,+38 %,125 000 kr/m²,sodermalm
"magnus ladulåsgatan 11, 2 tr","södermalm, stockholms kommun",74 m²   3 rum,3 510 kr/mån,balkong&hiss,slutpris 6 410 000 kr,såld 10 september 2021,+20 %,86 622 kr/m²,sodermalm
heleneborgsgatan 24,"södermalm, stockholms kommun",99 m²   3 rum,3 588 kr/mån,balkong&hiss,slutpris 9 800 000 kr,såld 10 september 2021,+3 %,98 990 kr/m²,sodermalm
rosenlundsgatan 20,"södermalm, stockholms kommun",43 m²   2 rum,2 116 kr/mån,hiss,slutpris 3 850 000 kr,såld 10 september 2021,+10 %,89 535 kr/m²,sodermalm
"heleneborgsgatan 5a, 5tr","södermalm högalid, stockholms kommun",111 m²   4 rum,5 939 kr/mån,balkong&hiss,slutpris 11 880 000 kr,såld 10 september 2021,+14 %,107 027 kr/m²,sodermalm
rutger fuchsgatan 9,"södermalm, stockholms kommun","31 m²   1,5 rum",1 911 kr/mån,hiss,slutpris 2 950 000 kr,såld 10 september 2021,+9 %,95 161 kr/m²,sodermalm
bondegatan 1g,"södermalm - sofo, stockholms kommun",62 m²   2 rum,2 362 kr/mån,balkong,slutpris 5 900 000 kr,såld 10 september 2021,+3 %,95 161 kr/m²,sodermalm
"brännkyrkagatan 44, 4tr","södermalm, stockholms kommun",62 m²   2 rum,2 915 kr/mån,hiss,slutpris 5 700 000 kr,såld 10 september 2021,+4 %,91 935 kr/m²,sodermalm
swedenborgsgatan 25,"södermalm-maria, stockholms kommun",59 + 9 m²   2 rum,3 222 kr/mån,balkong&hiss,slutpris 5 350 000 kr,såld 10 september 2021,+18 %,90 678 kr/m²,sodermalm
"bondegatan 12, 5 tr","södermalm / nytorget / sofo, stockholms kommun",78 m²   3 rum,1 698 kr/mån,hiss,slutpris 7 700 000 kr,såld 10 september 2021,+10 %,98 718 kr/m²,sodermalm
tjärhovsgatan 22,"södermalm katarina, stockholms kommun",19 m²   1 rum,2 066 kr/mån,hiss,slutpris 2 280 000 kr,såld 10 september 2021,+14 %,120 000 kr/m²,sodermalm
högbergsgatan 62d,"södermalm, stockholms kommun",40 m²   1 rum,1 491 kr/mån,null,slutpris 5 100 000 kr,såld 10 september 2021,+13 %,127 500 kr/m²,sodermalm
"heleneborgsgatan 54, 3 tr","högalid, stockholms kommun",135 m²   6 rum,5 688 kr/mån,hiss,slutpris 13 575 000 kr,såld 9 september 2021,+4 %,100 556 kr/m²,sodermalm
sköldgatan 1,"maria, stockholms kommun",91 m²   4 rum,4 307 kr/mån,balkong&hiss,slutpris 8 175 000 kr,såld 9 september 2021,+19 %,89 835 kr/m²,sodermalm
"maria bangata 9, 4 tr","södermalm - högalid, stockholms kommun",59 m²   2 rum,2 988 kr/mån,balkong&hiss,slutpris 4 930 000 kr,såld 9 september 2021,+13 %,83 559 kr/m²,sodermalm
"bondegatan 1b, lgh 503","södermalm, stockholms kommun",35 m²   2 rum,1 744 kr/mån,balkong,slutpris 4 550 000 kr,såld 9 september 2021,-4 %,130 000 kr/m²,sodermalm
kattgränd 6,"södermalm - mariaberget, stockholms kommun","93 + 28 m²   3,5 rum",4 362 kr/mån,balkong,slutpris 10 400 000 kr,såld 9 september 2021,+16 %,111 828 kr/m²,sodermalm
götgatan 114,"södermalm, stockholms kommun",65 m²   2 rum,2 797 kr/mån,balkong&hiss,slutpris 4 800 000 kr,såld 9 september 2021,+12 %,73 846 kr/m²,sodermalm
fatburs kvarngata 26,"maria, stockholms kommun",50 m²   2 rum,3 225 kr/mån,balkong&hiss,slutpris 4 450 000 kr,såld 9 september 2021,+12 %,89 000 kr/m²,sodermalm
"ringvägen 128, 4tr","södermalm, stockholms kommun",74 m²   3 rum,3 306 kr/mån,balkong&hiss,slutpris 6 650 000 kr,såld 9 september 2021,+17 %,89 865 kr/m²,sodermalm
"åsögatan 194, högst upp","södermalm sofia, stockholms kommun","50,5 m²   2 rum",2 711 kr/mån,balkong&hiss,slutpris 7 000 000 kr,såld 9 september 2021,138 614 kr/m²,,sodermalm
repslagargatan 8,"södermalm, stockholms kommun",78 m²   3 rum,4 405 kr/mån,balkong&hiss,slutpris 6 430 000 kr,såld 9 september 2021,+17 %,82 436 kr/m²,sodermalm
"ringvägen 139a, 3tr","katarina/sofia, stockholms kommun",57 m²   2 rum,2 909 kr/mån,hiss,slutpris 5 650 000 kr,såld 9 september 2021,+13 %,99 123 kr/m²,sodermalm
"färgargårdstorget 60, 4tr","katarina/sofia, stockholms kommun",107 m²   4 rum,4 478 kr/mån,balkong&hiss,slutpris 8 250 000 kr,såld 9 september 2021,+10 %,77 103 kr/m²,sodermalm
"åsögatan 107, 2tr","södermalm, stockholms kommun",97 m²   5 rum,4 931 kr/mån,balkong&hiss,slutpris 8 900 000 kr,såld 9 september 2021,+11 %,91 753 kr/m²,sodermalm
"bergsundsgatan 14, 1tr","södermalm, stockholms kommun",41 m²   2 rum,3 255 kr/mån,balkong&hiss,slutpris 4 000 000 kr,såld 9 september 2021,+23 %,97 561 kr/m²,sodermalm
gotlandsgatan 74,"södermalm - sofo, stockholms kommun",40 m²   2 rum,2 354 kr/mån,balkong&hiss,slutpris 4 410 000 kr,såld 9 september 2021,+12 %,110 250 kr/m²,sodermalm
"folkskolegatan 3, 4 tr","södermalm, stockholms kommun",24 m²   1 rum,1 325 kr/mån,hiss,slutpris 2 650 000 kr,såld 9 september 2021,+21 %,110 417 kr/m²,sodermalm
åsögatan 176,"södermalm sofia, stockholms kommun",34 m²   2 rum,1 693 kr/mån,null,slutpris 3 700 000 kr,såld 9 september 2021,+24 %,108 824 kr/m²,sodermalm
"fatburstrappan 12, 2 tr","södermalm - katarina, stockholms kommun",70 m²   3 rum,4 578 kr/mån,balkong&hiss,slutpris 6 050 000 kr,såld 9 september 2021,+15 %,86 429 kr/m²,sodermalm
"krukmakargatan 31 b, 5 tr","södermalm, stockholms kommun",44 m²   2 rum,2 326 kr/mån,hiss,slutpris 4 560 000 kr,såld 9 september 2021,+15 %,103 636 kr/m²,sodermalm
"renstiernas gata 30, 5 tr","södermalm- sofia, stockholms kommun",42 m²   2 rum,2 142 kr/mån,hiss,slutpris 3 710 000 kr,såld 9 september 2021,+13 %,88 333 kr/m²,sodermalm
"tegelviksgatan 30, 5 tr","sofia, stockholms kommun","50,5 m²   2 rum",4 088 kr/mån,balkong&hiss,slutpris 4 170 000 kr,såld 8 september 2021,+13 %,82 574 kr/m²,sodermalm
tavastgatan 31,"södermalm, stockholms kommun",48 m²   2 rum,1 615 kr/mån,hiss,slutpris 5 200 000 kr,såld 8 september 2021,+8 %,108 333 kr/m²,sodermalm
skaraborgsgatan 9,"södermalm, stockholms kommun",49 m²   2 rum,3 450 kr/mån,balkong&hiss,slutpris 4 310 000 kr,såld 8 september 2021,+23 %,87 959 kr/m²,sodermalm
heleneborgsgatan 40,"södermalm, stockholms kommun",25 m²   1 rum,1 421 kr/mån,balkong&hiss,slutpris 2 750 000 kr,såld 8 september 2021,+4 %,110 000 kr/m²,sodermalm
"ringvägen 151a, 4 tr mot gård","södermalm - sofo, stockholms kommun",28 m²   1 rum,1 618 kr/mån,balkong&hiss,slutpris 3 475 000 kr,såld 8 september 2021,+29 %,124 107 kr/m²,sodermalm
"lundagatan 48b, 2 tr","södermalm, stockholms kommun","27 m²   1,5 rum",1 503 kr/mån,balkong,slutpris 3 320 000 kr,såld 8 september 2021,+28 %,122 963 kr/m²,sodermalm
"hornstulls strand 1, 5 tr","hornstull - högalid, stockholms kommun",22 m²   1 rum,1 121 kr/mån,hiss,slutpris 3 100 000 kr,såld 8 september 2021,+24 %,140 909 kr/m²,sodermalm
"långholmsgatan 11, 3 tr","södermalm, stockholms kommun",85 m²   3 rum,3 736 kr/mån,balkong&hiss,slutpris 8 800 000 kr,såld 8 september 2021,+17 %,103 529 kr/m²,sodermalm
lundagatan 52,"södermalm, stockholms kommun",37 m²   2 rum,1 919 kr/mån,null,slutpris 3 620 000 kr,såld 8 september 2021,+13 %,97 838 kr/m²,sodermalm
"lundagatan 44a, högst upp","södermalm - högalid, stockholms kommun","40,5 m²   2 rum",2 062 kr/mån,hiss,slutpris 4 100 000 kr,såld 8 september 2021,+22 %,101 235 kr/m²,sodermalm
katarina bangata 25,"södermalm - sofo, stockholms kommun","78 m²   2,5 rum",3 409 kr/mån,hiss,slutpris 7 800 000 kr,såld 8 september 2021,+12 %,100 000 kr/m²,sodermalm
"hornsgatan 64a, 3 tr, gårdshus","södermalm - mariatorget, stockholms kommun",50 m²   2 rum,1 889 kr/mån,null,slutpris 5 320 000 kr,såld 8 september 2021,+22 %,106 400 kr/m²,sodermalm
